title,summary,url,publication_date,source
Industry-Leading Automotive Connectivity Solutions and Extensive Engineering Expertise,Tackle your design challenges and deliver an enhanced driving experience,https://spectrum.ieee.org/te-automotive,01 JUL 2024,IEEE Automotive
"High-Performance Data, Signal, and Power Solutions for the Most Advanced Vehicles",Every connection plays a critical role in ensuring seamless system performance and driver safety,https://spectrum.ieee.org/automotive-connectivity-solutions,17 APR 2024,IEEE Automotive
How High Precision GNSS Enables New Automotive Applications,Download this free poster to learn how high precision GNSS calculates and transmits error correction data to vehicles,https://www.rohde-schwarz.com/solutions/test-and-measurement/automotive/poster-how-high-precision-gnss-enables-new-automotive-applications-registration_256220.html?mid=13547,13 FEB 2023,IEEE Automotive
The Costly Impact Of Non-Strategic Patents,A lapse analysis of the top 5 automotive brands—download the free report to get the insights,https://unitedlex.com/insights/the-costly-impact-of-overprotecting-patents-a-lapse-analysis-of-the-top-5/?utm_medium=email&utm_source=ieee&utm_campaign=ip_lapse_analyses_vol2&utm_content=top-link,27 JAN 2023,IEEE Automotive
Industrial Functional Safety Training from UL Solutions,Build knowledge and skills to better navigate today's functional safety landscape,https://spectrum.ieee.org/functional-safety-training,16 NOV 2022,IEEE Automotive
Electromagnetic Simulations In Automotive Industry,Learn how an electromagnetic simulator can be applied to various scenarios in the automotive industry,https://wipl-d.com/automotive-applications/,16 JUN 2022,IEEE Automotive
How to Keep the Automotive Chip Shortage From Happening Again,It’s time for the auto industry to really get to know the chip industry,https://spectrum.ieee.org/automotive-chip-shortage,21 JUL 2021,IEEE Automotive
How Software Is Eating the Car,The trend toward self-driving and electric vehicles will add hundreds of millions of lines of code to cars. Can the auto industry cope?,https://spectrum.ieee.org/software-eating-car,07 JUN 2021,IEEE Automotive
"As Cars Become Mobility Services, Fujitsu and AWS Develop Automotive Cloud Computing Tools",Amazon and Japan’s biggest computer company collaborate to move automakers along the transition to transportation-as-a-service providers,https://spectrum.ieee.org/fujitsu-and-aws-collaboration-accelerate-automakers-move-into-mobility-services,02 JUN 2021,IEEE Automotive
What You Need to Know About Charging Before You Buy an EV,"Unlike gasoline- or diesel-powered vehicles, there are several ways to charge EVs",https://spectrum.ieee.org/what-you-need-to-know-about-charging-before-you-buy-an-ev,21 MAY 2021,IEEE Automotive
